GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
openelisglobal,org.openelisglobal.project.service,ProjectServiceImpl,119,0,6,0,27,0,18,0,15,0
openelisglobal,org.openelisglobal.samplebatchentry.form,SampleBatchEntryForm,217,0,0,0,90,0,55,0,55,0
openelisglobal,org.openelisglobal.testresultsview.dao,ClientResultsViewInfoDAOImpl,4,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.citystatezip.daoimpl,CityStateZipDAOImpl,1611,0,126,0,363,0,76,0,13,0
openelisglobal,org.openelisglobal.analyzerimport.action.beans,NamedAnalyzerTestMapping,45,0,2,0,16,0,11,0,10,0
openelisglobal,org.openelisglobal.common.rest.provider.bean.homedashboard,OrderDisplayBean,73,0,0,0,31,0,21,0,21,0
openelisglobal,org.openelisglobal.common.rest.provider.bean.homedashboard,DashBoardTile,3,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.common.rest.provider.bean.homedashboard,AverageTimeDisplayBean,36,0,0,0,13,0,7,0,7,0
openelisglobal,org.openelisglobal.common.rest.provider.bean.homedashboard,DashBoardMetrics,113,0,0,0,41,0,21,0,21,0
openelisglobal,org.openelisglobal.common.rest.provider.bean.homedashboard,DashBoardTile.TileType,117,0,0,0,5,0,2,0,2,0
openelisglobal,org.openelisglobal.qaevent.valueholder,NceActionLog,147,6,20,0,31,2,25,2,15,2
openelisglobal,org.openelisglobal.qaevent.valueholder,NcEvent,488,6,54,0,109,2,86,2,59,2
openelisglobal,org.openelisglobal.qaevent.valueholder,QaObservationType,18,6,0,0,8,2,5,2,5,2
openelisglobal,org.openelisglobal.qaevent.valueholder,LabComponent,75,6,12,0,15,2,13,2,7,2
openelisglobal,org.openelisglobal.qaevent.valueholder,QaEvent,140,21,2,0,52,6,34,2,33,2
openelisglobal,org.openelisglobal.qaevent.valueholder,NceType,118,6,16,0,25,2,21,2,13,2
openelisglobal,org.openelisglobal.qaevent.valueholder,NceCategory,32,6,0,0,14,2,9,2,9,2
openelisglobal,org.openelisglobal.qaevent.valueholder,QaObservation.ObservedType,37,0,0,0,6,0,3,0,3,0
openelisglobal,org.openelisglobal.qaevent.valueholder,QaObservation,42,11,0,0,17,4,11,2,11,2
openelisglobal,org.openelisglobal.qaevent.valueholder,NceSpecimen,75,6,12,0,15,2,13,2,7,2
openelisglobal,org.openelisglobal.organization.service,OrganizationTypeServiceImpl,12,4,0,0,3,2,3,1,3,1
openelisglobal,org.openelisglobal.organization.service,OrganizationImportServiceImpl,537,3,44,0,113,1,28,1,6,1
openelisglobal,org.openelisglobal.organization.service,OrganizationExportServiceImpl,134,3,12,0,29,1,9,1,3,1
openelisglobal,org.openelisglobal.organization.service,OrganizationServiceImpl,269,22,24,2,58,6,41,3,28,3
openelisglobal,org.openelisglobal.organization.service,OrganizationContactServiceImpl,8,4,0,0,2,2,2,1,2,1
openelisglobal,org.openelisglobal.organization.service,OrganizationImportServiceImpl.OrganizationObjects,6,0,0,0,1,0,1,0,1,0
openelisglobal,org.openelisglobal.sample.controller.rest,SampleEditRestController.SampleEditItemComparator,29,0,4,0,6,0,3,0,1,0
openelisglobal,org.openelisglobal.sample.controller.rest,SamplePatientEntryRestController,1277,0,58,0,199,0,40,0,11,0
openelisglobal,org.openelisglobal.sample.controller.rest,SampleEditRestController,814,0,84,0,192,0,61,0,19,0
openelisglobal,org.openelisglobal.common.rest.provider.bean,PatientInfoBean,243,0,0,0,103,0,67,0,67,0
openelisglobal,org.openelisglobal.common.rest.provider.bean,TestDisplayBean,22,0,0,0,9,0,5,0,5,0
openelisglobal,org.openelisglobal.testcodes.dao,TestCodeDAOImpl,4,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.testcodes.dao,OrganizationHL7SchemaDAOImpl,4,0,0,0,2,0,1,0,1,0
openelisglobal,org.openelisglobal.testconfiguration.action,PanelTests,159,0,10,0,35,0,15,0,10,0
openelisglobal,org.openelisglobal.testconfiguration.action,PanelTestConfigurationUtil,144,0,16,0,28,0,11,0,3,0
